Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level,,,,,,,,,,,,,,,,
school,5.291550501,3.953571504,3.55563,91.63649208,5,6,12,0,,,,,,,,,,,,,,,,
college,6.253160176,4.867431602,6.97474794,73.03225585,1,5,10,0,,,,,,,,,,,,,,,,
working_student,6.243154032,6.683298416,1.030397227,90.4823636,6,8,4,0,,,,,,,,,,,,,,,,
working_student,5.412476204,11.06078602,3.55563,77.120794,2,7,5,0,,,,,,,,,,,,,,,,
college,9.548057317,5.94982908,5.317019667,75.57207312,8,3,9,1,,,,,,,,,,,,,,,,
college,7.583896103,10.30355545,0.282757588,99.61903114,6,8,10,0,,,,,,,,,,,,,,,,
working_student,6.458930766,7.895166609,4.221595304,94.09687454,7,2,1,1,,,,,,,,,,,,,,,,
college,6.458930766,2.066512888,8.38890027,62.91387879,5,5,7,1,,,,,,,,,,,,,,,,
college,8.891497653,4.206710486,3.55563,75.17356604,9,2,6,1,,,,,,,,,,,,,,,,
college,8.322053574,4.645469652,6.191093476,80.67106132,3,9,1,0,,,,,,,,,,,,,,,,
college,7.396737318,3.436065644,3.224865667,0,7,3,4,1,,,,,,,,,,,,,,,,
college,5.275526566,6.674301394,3.713187391,88.16582424,5,5,6,0,,,,,,,,,,,,,,,,
working_student,6.973849307,6.353433467,7.7960443,98.30228539,6,6,4,1,,,,,,,,,,,,,,,,
school,8.897298223,2.054453635,3.622505421,61.61887709,6,6,3,0,,,,,,,,,,,,,,,,
school,6.095315707,2.778668802,1.912621452,68.00988432,8,10,3,0,,,,,,,,,,,,,,,,
college,6.29981587,4.50238428,6.964200876,73.74853779,9,3,2,1,,,,,,,,,,,,,,,,
working_student,6.730874622,5.451226488,2.579203632,93.39490575,9,2,11,1,,,,,,,,,,,,,,,,
college,6.765260475,5.344176644,4.012884045,83.50712126,9,4,11,1,,,,,,,,,,,,,,,,
college,8.697375094,4.160735812,4.534712612,88.72099419,10,4,7,1,,,,,,,,,,,,,,,,
school,7.339777471,3.421526742,5.741748922,70.84137107,6,5,6,0,,,,,,,,,,,,,,,,
school,7.469313315,1.176483545,5.985559787,89.31678216,5,5,10,0,,,,,,,,,,,,,,,,
working_student,6.778233939,9.05602685,4.652835382,81.943,8,8,12,0,,,,,,,,,,,,,,,,
school,7.103442666,1.660745295,3.937935771,78.44040462,5,7,8,0,,,,,,,,,,,,,,,,
school,8.541791516,0.922986933,0.848319837,82.17584805,5,6,6,0,,,,,,,,,,,,,,,,
college,6.410402498,8.493857006,5.786812125,62.53978862,10,8,3,1,,,,,,,,,,,,,,,,
college,8.524740866,8.177597336,3.55563,95.08144745,8,9,6,0,,,,,,,,,,,,,,,,
school,7.675444639,2.884542463,5.752017228,90.28722806,8,7,5,1,,,,,,,,,,,,,,,,
college,6.458930766,3.617662375,1.586620804,79.32051567,7,4,7,1,,,,,,,,,,,,,,,,
college,4.769017232,10.08102446,2.390758967,94.32502943,5,2,6,1,,,,,,,,,,,,,,,,
working_student,2.784791757,6.308969595,4.391393883,80.68782779,7,4,1,1,,,,,,,,,,,,,,,,
school,9.374710648,5.619176962,4.093511298,86.08096492,7,5,12,0,,,,,,,,,,,,,,,,
college,8.486205493,5.398588011,6.059482319,60.58751479,6,9,6,0,,,,,,,,,,,,,,,,
college,3.111736872,5.412680723,3.01649539,67.90450587,2,6,1,0,,,,,,,,,,,,,,,,
college,6.558189321,7.402865937,2.579884842,97.24336185,4,5,6,0,,,,,,,,,,,,,,,,
college,6.661629236,3.702457622,5.581012869,85.30874787,10,5,11,1,,,,,,,,,,,,,,,,
school,6.419626265,4.246673672,5.496641184,77.28887977,1,8,11,0,,,,,,,,,,,,,,,,
Other,5.813296938,6.928170087,5.951405351,81.26921425,6,5,6,1,,,,,,,,,,,,,,,,
school,8.195532522,2.469413044,3.14278657,94.62821363,2,6,3,0,,,,,,,,,,,,,,,,
college,7.936249556,5.961907219,4.766541472,99.15196248,5,9,12,0,,,,,,,,,,,,,,,,
school,8.334889491,4.982245275,4.445827197,73.09176107,6,6,9,0,,,,,,,,,,,,,,,,
college,4.516225639,6.88756763,3.109013339,90.76360933,8,3,5,1,,,,,,,,,,,,,,,,
working_student,2.671187692,4.668633954,3.232702525,71.46716925,5,6,7,0,,,,,,,,,,,,,,,,
college,5.800044849,7.031694624,5.457015644,74.20452969,2,5,7,0,,,,,,,,,,,,,,,,
college,6.999894056,2.959558988,0.910410629,79.99828125,7,3,2,0,,,,,,,,,,,,,,,,
working_student,5.339835813,4.443244733,4.814041258,70.23969855,9,2,3,1,,,,,,,,,,,,,,,,
working_student,4.596744214,5.685142853,8.396072013,81.943,10,10,5,1,,,,,,,,,,,,,,,,
school,6.98925085,4.303411028,3.572478139,89.1563642,7,6,11,0,,,,,,,,,,,,,,,,
college,7.490875308,7.163216536,0.5270945,64.48885683,2,9,6,0,,,,,,,,,,,,,,,,
college,5.644892133,8.680705924,2.257410225,83.05755785,4,7,8,0,,,,,,,,,,,,,,,,
working_student,6.397069329,5.343167135,3.532725123,78.17184815,7,7,12,1,,,,,,,,,,,,,,,,
working_student,6.458930766,5.624598724,5.814111376,76.72758108,5,6,10,0,,,,,,,,,,,,,,,,
college,7.289186407,6.060074548,5.984623295,80.60865928,3,6,2,0,,,,,,,,,,,,,,,,
college,8.548743109,4.460013987,3.348876756,82.87871355,1,8,4,0,,,,,,,,,,,,,,,,
college,5.539061033,2.833202455,0.321749731,72.99788002,6,2,10,0,,,,,,,,,,,,,,,,
working_student,6.458930766,6.652408882,4.840185514,59.78110304,5,2,9,1,,,,,,,,,,,,,,,,
school,7.258166114,4.029668846,4.960362312,92.22495487,3,8,5,0,,,,,,,,,,,,,,,,
Other,5.858286678,2.895276071,1.658483924,45.44955278,5,7,12,0,,,,,,,,,,,,,,,,
school,6.584087441,3.873406166,6.197991305,80.71996296,10,6,7,1,,,,,,,,,,,,,,,,
school,7.304395285,4.651026253,3.851322437,72.97762244,1,5,1,0,,,,,,,,,,,,,,,,
college,5.585482795,6.143159212,3.608106185,80.29187297,10,4,9,1,,,,,,,,,,,,,,,,
college,5.176614048,4.237101663,2.620735521,74.4291359,3,5,6,0,,,,,,,,,,,,,,,,
working_student,4.015532286,5.852668486,6.285494785,90.97222434,1,8,9,0,,,,,,,,,,,,,,,,
Other,9.845374898,6.722958524,3.239461649,88.953746,5,5,7,0,,,,,,,,,,,,,,,,
Other,6.458930766,4.973624459,4.767431801,89.35746999,5,5,10,0,,,,,,,,,,,,,,,,
college,5.417382243,6.317493792,3.624504919,90.26763204,8,6,6,1,,,,,,,,,,,,,,,,
college,7.874188896,2.868380512,6.866984931,86.89826759,6,6,7,0,,,,,,,,,,,,,,,,
working_student,3.858858998,6.351894753,3.106767113,92.74484405,7,5,2,0,,,,,,,,,,,,,,,,
working_student,5.046354419,8.859067013,1.435038593,72.16058971,7,9,9,0,,,,,,,,,,,,,,,,
working_student,3.88708575,5.898315923,2.989525412,98.37674777,7,6,5,1,,,,,,,,,,,,,,,,
college,6.666875784,2.875029555,4.687492974,59.51093738,7,6,1,1,,,,,,,,,,,,,,,,
school,6.052085076,1.725788659,4.35562912,68.74735436,4,5,1,0,,,,,,,,,,,,,,,,
working_student,6.652606337,7.735679874,3.55563,89.4576223,2,7,8,0,,,,,,,,,,,,,,,,
college,7.089408086,6.445496256,3.55563,80.32526214,5,5,5,0,,,,,,,,,,,,,,,,
working_student,4.822925245,5.14214605,4.124556707,84.73889437,1,2,12,0,,,,,,,,,,,,,,,,
working_student,4.907578623,3.064121138,0.473051441,77.52247049,5,9,1,0,,,,,,,,,,,,,,,,
college,5.769149363,7.404402216,0.595038438,74.9603728,7,7,8,1,,,,,,,,,,,,,,,,
working_student,3.876454537,4.049708391,4.88079473,91.58202577,3,6,12,0,,,,,,,,,,,,,,,,
college,6.458930766,3.071174757,3.731395849,81.943,7,7,6,0,,,,,,,,,,,,,,,,
college,6.740287752,5.897741751,0.632687644,94.20631388,5,7,6,0,,,,,,,,,,,,,,,,
working_student,8.654883239,7.741309358,4.468496567,77.24485691,4,5,2,0,,,,,,,,,,,,,,,,
school,6.985721904,5.049722549,2.547838227,81.53477789,3,4,4,0,,,,,,,,,,,,,,,,
college,6.458930766,5.051871991,6.173175926,95.05332256,1,4,9,0,,,,,,,,,,,,,,,,
school,8.48,4.7,1.92,99.56,5,7,10,0,,,,,,,,,,,,,,,,
working_student,6.458930766,3.838853182,0.793219171,73.44375148,6,1,2,0,,,,,,,,,,,,,,,,
college,3.425641419,2.976027375,3.782044131,78.37913313,3,6,4,0,,,,,,,,,,,,,,,,
college,4.87296502,5.061005798,5.874304635,86.10749048,6,3,6,1,,,,,,,,,,,,,,,,
college,2.161835818,6.544780681,4.245431781,72.46877444,8,9,10,1,,,,,,,,,,,,,,,,
college,8.156016256,3.772624842,3.619088965,71.6244733,6,6,11,0,,,,,,,,,,,,,,,,
working_student,6.655989191,3.270018607,5.348593865,66.39145839,3,8,12,0,,,,,,,,,,,,,,,,
college,5.383434839,2.867626619,3.55563,75.03447109,7,4,11,0,,,,,,,,,,,,,,,,
college,4.645925928,4.144655811,4.913422909,80.56447147,8,6,8,1,,,,,,,,,,,,,,,,
college,6.458930766,0.9162318,3.50024611,74.57917587,5,7,1,0,,,,,,,,,,,,,,,,
college,5.161385976,5.876402176,7.303448202,84.85624682,3,9,4,0,,,,,,,,,,,,,,,,
college,6.858958147,6.794911852,4.028486389,89.65990712,10,4,9,1,,,,,,,,,,,,,,,,
college,8.308978096,3.987586876,2.777731079,84.57381542,9,9,5,0,,,,,,,,,,,,,,,,
college,6.578685456,2.822634369,4.994795868,85.52890309,5,9,5,1,,,,,,,,,,,,,,,,
college,7.014138892,5.49653479,3.53531489,72.20789002,7,6,8,1,,,,,,,,,,,,,,,,
school,7.95308043,3.132510524,3.034089973,81.31504116,1,9,6,0,,,,,,,,,,,,,,,,
working_student,4.64211883,6.351596713,2.004965686,77.91537874,4,7,7,0,,,,,,,,,,,,,,,,
working_student,6.458930766,5.600006494,1.80157603,96.16912663,3,9,12,0,,,,,,,,,,,,,,,,
working_student,3.884749094,7.026852446,8.868853565,91.37950873,5,7,3,1,,,,,,,,,,,,,,,,
school,7.51565746,1.592859949,4.086272212,97.36622364,2,4,6,0,,,,,,,,,,,,,,,,
school,7.937813435,2.935562291,2.274302288,95.64954655,2,9,8,0,,,,,,,,,,,,,,,,
college,6.005521811,3.114968615,1.587339283,83.60561928,1,6,1,0,,,,,,,,,,,,,,,,
working_student,5.701138399,7.116386497,6.986399462,68.08108693,6,6,11,1,,,,,,,,,,,,,,,,
working_student,6.458930766,9.006916802,5.097014711,99.26613649,3,7,5,0,,,,,,,,,,,,,,,,
college,9.407620337,2.806399931,1.648190928,85.68684597,8,6,7,0,,,,,,,,,,,,,,,,
working_student,6.165343736,10.55592982,2.840087252,75.95472888,3,5,1,0,,,,,,,,,,,,,,,,
college,7.963129619,6.488394201,8.204406848,61.06116142,10,6,6,1,,,,,,,,,,,,,,,,
college,4.39508618,4.179593624,5.652084878,59.76340181,2,5,8,0,,,,,,,,,,,,,,,,
working_student,8.848813953,8.550461247,2.06843805,83.65036578,7,5,11,0,,,,,,,,,,,,,,,,
college,4.659070254,5.977962539,1.278388815,94.51390479,5,9,5,0,,,,,,,,,,,,,,,,
Other,4.507236491,5.781320956,4.060388686,81.33482573,9,6,10,1,,,,,,,,,,,,,,,,
working_student,4.152007185,6.385024603,1.316089197,69.36713503,7,5,8,0,,,,,,,,,,,,,,,,
college,5.435440057,8.018154701,1.083497098,95.63927064,3,5,3,0,,,,,,,,,,,,,,,,
school,7.857537001,2.41359734,3.231228738,94.88693615,7,5,4,0,,,,,,,,,,,,,,,,
school,7.166452831,2.942551191,0.616986808,78.61234781,7,6,10,0,,,,,,,,,,,,,,,,
working_student,6.415470333,4.397578083,2.532360789,53.27074648,5,7,6,0,,,,,,,,,,,,,,,,
working_student,6.031753768,8.331250143,2.851565066,72.73230429,4,4,6,1,,,,,,,,,,,,,,,,
school,9.33,4.7,1.77,59.39,5,7,1,0,,,,,,,,,,,,,,,,
school,5.87374033,0.739595743,3.01038388,89.65971279,6,2,9,0,,,,,,,,,,,,,,,,
college,7.736771882,1.941268159,4.006728243,97.45379257,6,1,10,0,,,,,,,,,,,,,,,,
college,6.805663948,4.639401893,1.349575362,96.32876579,6,8,10,1,,,,,,,,,,,,,,,,
school,6.458930766,3.514768607,3.55563,65.06713688,3,3,1,1,,,,,,,,,,,,,,,,
college,5.160270276,5.546936984,2.271105605,81.943,3,1,6,0,,,,,,,,,,,,,,,,
college,5.152796288,4.158442865,2.353831725,96.66935094,4,4,10,0,,,,,,,,,,,,,,,,
school,8.056221682,4.769704965,3.236565834,81.99012173,6,5,10,0,,,,,,,,,,,,,,,,
college,9.793354735,3.04210343,3.95445945,73.95710749,2,5,5,0,,,,,,,,,,,,,,,,
working_student,5.201100937,5.470404876,4.458427358,89.91942469,8,9,4,1,,,,,,,,,,,,,,,,
college,6.256568354,5.138717449,0.995145641,85.58556647,6,9,4,0,,,,,,,,,,,,,,,,
working_student,5.177935434,7.314638321,8.093529889,81.943,10,2,4,1,,,,,,,,,,,,,,,,
working_student,6.458930766,5.722407601,2.209152041,88.47078578,9,6,9,0,,,,,,,,,,,,,,,,
school,7.938147176,4.189117896,1.813138551,88.13004759,7,5,11,0,,,,,,,,,,,,,,,,
college,4.796787236,9.685275469,3.55563,64.00974422,5,4,1,1,,,,,,,,,,,,,,,,
college,5.129254273,4.228627184,1.363162596,74.52070814,7,3,10,1,,,,,,,,,,,,,,,,
working_student,5.752803136,6.506233979,6.873526376,90.93132564,3,5,1,0,,,,,,,,,,,,,,,,
Other,7.2503108,1.853641137,5.428899469,96.55536101,7,6,6,0,,,,,,,,,,,,,,,,
working_student,6.403785126,6.200453298,0.858413193,97.27034773,8,7,7,1,,,,,,,,,,,,,,,,
school,8.324300279,4.258332855,3.971958309,94.04838277,4,5,7,0,,,,,,,,,,,,,,,,
college,4.666425413,3.793096494,0.566894922,85.31921824,9,6,7,1,,,,,,,,,,,,,,,,
school,7.712224685,3.152147814,3.157318637,77.28447053,10,6,10,1,,,,,,,,,,,,,,,,
college,7.107583167,4.171342906,5.909306236,94.44824557,5,7,4,0,,,,,,,,,,,,,,,,
college,6.650235805,4.081123971,3.767231145,91.09296284,5,10,11,0,,,,,,,,,,,,,,,,
working_student,5.277652213,8.493426645,7.323788329,82.11216612,1,9,3,0,,,,,,,,,,,,,,,,
school,7.728223605,1.278974018,2.219567068,70.73958099,8,8,9,0,,,,,,,,,,,,,,,,
college,4.924816363,4.501060527,6.841385759,79.79077926,2,7,12,0,,,,,,,,,,,,,,,,
college,6.202440477,5.651725671,1.436068597,93.86797471,3,8,8,0,,,,,,,,,,,,,,,,
college,7.74867668,5.679526411,4.770077719,75.69626163,6,5,1,0,,,,,,,,,,,,,,,,
college,6.915305792,5.042278783,3.55563,60.58683348,5,9,10,0,,,,,,,,,,,,,,,,
college,7.045282684,0.661993589,0.077402369,83.96979694,9,2,3,1,,,,,,,,,,,,,,,,
college,6.464186574,2.520836969,0.632784191,64.29056613,5,7,7,0,,,,,,,,,,,,,,,,
Other,7.549198716,5.279316563,2.753563641,76.17455654,6,4,12,0,,,,,,,,,,,,,,,,
college,8.535759815,5.319984333,6.435358976,82.96445977,6,4,2,1,,,,,,,,,,,,,,,,
college,7.823136661,4.757234633,0.437170036,81.90308156,8,5,5,0,,,,,,,,,,,,,,,,
college,4.655657317,4.963988469,4.406614193,74.44264357,8,8,9,0,,,,,,,,,,,,,,,,
college,7.142418587,7.473891751,2.322715086,78.46754026,1,3,10,0,,,,,,,,,,,,,,,,
school,7.821969903,0.490061305,4.050115354,81.943,1,6,8,0,,,,,,,,,,,,,,,,
school,6.502885424,4.469876475,3.561358368,98.53507617,6,8,8,0,,,,,,,,,,,,,,,,
college,7.031185472,3.191371754,1.862158423,83.1303804,5,8,4,0,,,,,,,,,,,,,,,,
working_student,5.06993068,6.488793187,3.05477208,89.8823618,8,5,10,1,,,,,,,,,,,,,,,,
college,7.301403088,6.036063116,5.284651916,96.77921613,6,6,11,0,,,,,,,,,,,,,,,,
college,9.296379614,5.863407256,1.711004557,87.52071107,4,1,2,0,,,,,,,,,,,,,,,,
college,5.463345767,4.79870919,0.863453179,76.47257965,6,3,2,0,,,,,,,,,,,,,,,,
working_student,4.681359415,9.191823739,5.71176155,74.26431054,8,6,1,1,,,,,,,,,,,,,,,,
working_student,4.797212834,5.731635091,7.812170416,87.48131061,9,7,1,1,,,,,,,,,,,,,,,,
college,5.204387878,7.219644924,5.223754026,97.39302525,5,2,9,1,,,,,,,,,,,,,,,,
working_student,6.009446913,6.996834292,6.897510585,72.68424636,5,6,6,0,,,,,,,,,,,,,,,,
school,8.69251774,3.573926981,2.213696292,74.36791129,7,7,1,1,,,,,,,,,,,,,,,,
college,6.955386549,7.042806891,4.196035048,87.49399659,9,2,11,1,,,,,,,,,,,,,,,,
college,6.84,4.7,3.97,78.63,1,8,12,0,,,,,,,,,,,,,,,,
college,6.278609268,6.068548705,2.315079365,80.67575,5,6,2,1,,,,,,,,,,,,,,,,
working_student,6.363055515,1.772385072,3.168255905,93.86713591,4,10,2,0,,,,,,,,,,,,,,,,
college,7.366934356,8.058811246,0.41728469,93.70567547,5,7,7,0,,,,,,,,,,,,,,,,
college,7.035276631,4.169351495,3.307627699,84.26315908,3,7,1,0,,,,,,,,,,,,,,,,
school,7.274263321,1.020818326,6.105968886,68.11409613,7,6,8,0,,,,,,,,,,,,,,,,
college,7.268894644,0.234452318,2.366748623,89.08803368,5,9,10,0,,,,,,,,,,,,,,,,
college,6.656593347,4.037294801,2.763467846,91.02473962,8,6,4,0,,,,,,,,,,,,,,,,
school,7.770596325,3.135180692,2.349113853,80.83918192,4,4,7,0,,,,,,,,,,,,,,,,
college,6.458930766,3.948353232,2.562310691,62.01043237,9,6,5,0,,,,,,,,,,,,,,,,
college,7.82391107,3.338335565,5.285717856,92.13637962,6,5,11,0,,,,,,,,,,,,,,,,
college,4.623260246,4.574287525,2.384449275,68.38031002,7,4,12,0,,,,,,,,,,,,,,,,
college,5.619885615,2.631818152,5.46935339,97.90627083,5,6,2,0,,,,,,,,,,,,,,,,
working_student,6.045995284,6.138859182,3.55563,87.97369523,6,6,7,1,,,,,,,,,,,,,,,,
college,6.458930766,5.173956954,3.710773572,70.74913112,2,8,8,0,,,,,,,,,,,,,,,,
college,4.113715054,9.373004171,4.004419717,78.17587382,7,3,3,1,,,,,,,,,,,,,,,,
working_student,6.088982196,3.929307255,3.975432213,88.46315264,5,2,12,0,,,,,,,,,,,,,,,,
school,7.85,4.7,3.03,87.94,3,7,2,0,,,,,,,,,,,,,,,,
school,7.828950255,0.503390489,4.144659523,81.943,5,6,1,0,,,,,,,,,,,,,,,,
college,5.599822523,5.156462022,3.709454413,81.46810499,5,3,8,0,,,,,,,,,,,,,,,,
college,7.272754849,6.229972544,0.523526713,90.39745162,4,3,6,0,,,,,,,,,,,,,,,,
working_student,3.281078749,5.541737209,3.054154354,81.943,1,6,9,0,,,,,,,,,,,,,,,,
school,5.427627551,3.494682438,4.274728146,83.52879623,1,7,8,0,,,,,,,,,,,,,,,,
college,6.587099492,8.863494008,2.429212794,81.943,1,6,6,0,,,,,,,,,,,,,,,,
Other,6.903657437,2.122735147,5.705252617,78.50768928,5,6,12,0,,,,,,,,,,,,,,,,
college,4.928203118,5.109623411,4.450921461,92.11153039,8,5,11,1,,,,,,,,,,,,,,,,
college,9.061932866,0.871802591,4.230628394,83.98689186,3,2,2,0,,,,,,,,,,,,,,,,
college,5.651158531,5.541343211,4.705993287,83.62530409,3,7,8,0,,,,,,,,,,,,,,,,
college,4.502184966,7.438576554,2.337653736,78.59159985,10,5,10,1,,,,,,,,,,,,,,,,
school,7.175394396,1.698342325,1.092207544,81.58541287,4,6,7,0,,,,,,,,,,,,,,,,
working_student,4.43408571,5.07730052,0.45142043,82.29508142,6,4,8,0,,,,,,,,,,,,,,,,
school,7.369586577,3.210865261,1.914011831,87.01961059,7,9,11,0,,,,,,,,,,,,,,,,
Other,3.776460241,6.799975706,1.948860373,56.58231793,7,5,4,1,,,,,,,,,,,,,,,,
working_student,5.713754286,4.968419594,0.378841435,97.50397151,7,5,2,0,,,,,,,,,,,,,,,,
college,6.458930766,6.035708976,0.991444893,82.41058016,4,5,9,0,,,,,,,,,,,,,,,,
college,6.458930766,7.19574047,3.328416253,73.80485042,5,8,12,1,,,,,,,,,,,,,,,,
college,5.316997819,6.391060699,4.67934727,64.3637964,10,6,11,1,,,,,,,,,,,,,,,,
school,8.847442217,3.805514814,4.104018771,83.33201229,5,5,9,1,,,,,,,,,,,,,,,,
working_student,6.081862987,3.705120988,1.119094217,81.12691214,6,6,5,0,,,,,,,,,,,,,,,,
school,7.099927455,4.869950296,0.288438373,97.40001995,10,2,1,1,,,,,,,,,,,,,,,,
college,5.763017201,4.515313809,2.085515466,88.43247323,5,6,2,0,,,,,,,,,,,,,,,,
college,5.101150731,6.722701011,3.741310107,81.55068898,6,6,10,0,,,,,,,,,,,,,,,,
school,7.332862265,1.021122747,1.518701042,96.90087486,4,6,6,0,,,,,,,,,,,,,,,,
college,6.888508929,6.176434608,6.083862093,76.69685819,1,5,7,0,,,,,,,,,,,,,,,,
college,6.487896167,4.180288456,0.055005358,96.75234155,6,6,4,0,,,,,,,,,,,,,,,,
college,8.626521342,5.795819759,3.55563,65.24590585,6,5,2,1,,,,,,,,,,,,,,,,
school,6.820482739,1.188611013,6.115020003,72.30200376,4,9,11,0,,,,,,,,,,,,,,,,
college,5.174807948,10.32419216,5.13334925,71.899043,5,5,1,1,,,,,,,,,,,,,,,,
working_student,7.34,4.7,4.68,71.08,9,4,6,1,,,,,,,,,,,,,,,,
college,9.386099246,6.194767161,0.708004779,96.06286525,2,7,7,0,,,,,,,,,,,,,,,,
school,8.740102419,1.805741275,5.832539096,81.943,2,4,7,0,,,,,,,,,,,,,,,,
college,4.556832503,2.503985788,3.55563,62.79038027,6,6,4,0,,,,,,,,,,,,,,,,
working_student,3.168894868,8.875975418,0.204595081,96.15034607,8,3,5,1,,,,,,,,,,,,,,,,
college,2.142179276,5.426688833,4.670337666,81.943,5,6,5,0,,,,,,,,,,,,,,,,
school,7.574943978,1.49925964,1.370930037,97.07416793,5,7,8,0,,,,,,,,,,,,,,,,
college,8.035965544,7.772990402,4.647069783,62.50563548,2,9,5,0,,,,,,,,,,,,,,,,
college,8.177824276,6.099806286,4.201228777,78.40132014,8,7,6,1,,,,,,,,,,,,,,,,
working_student,9.629697585,4.126777177,4.238414357,81.14932038,9,10,9,0,,,,,,,,,,,,,,,,
school,8.315303556,3.663833286,2.853633741,85.63005393,5,5,6,0,,,,,,,,,,,,,,,,
college,6.478362189,3.375191644,4.130181886,96.85252835,10,8,5,1,,,,,,,,,,,,,,,,
college,4.773231578,7.254454933,2.351036707,73.91631138,7,8,2,1,,,,,,,,,,,,,,,,
college,6.601133022,8.647228211,6.10407823,70.81204671,4,5,12,0,,,,,,,,,,,,,,,,
college,7.145796731,2.203466741,4.851421276,82.49377683,7,5,4,0,,,,,,,,,,,,,,,,
school,8.794304718,4.120215284,2.277735884,77.78810106,1,2,4,0,,,,,,,,,,,,,,,,
school,7.724674208,3.749814174,3.77566266,98.02483221,3,5,8,0,,,,,,,,,,,,,,,,
college,6.83881315,5.606555691,3.55563,73.01940387,6,10,3,0,,,,,,,,,,,,,,,,
school,7.031912661,3.714357021,4.650959491,82.83344143,9,1,9,1,,,,,,,,,,,,,,,,
college,7.697510292,3.619446448,1.185418273,95.83590774,1,6,4,0,,,,,,,,,,,,,,,,
working_student,4.246733764,6.483993167,2.983870655,70.14684993,5,4,12,1,,,,,,,,,,,,,,,,
working_student,5.245148789,9.146156919,4.261851933,87.19510701,1,6,3,1,,,,,,,,,,,,,,,,
college,3.564120078,1.278898276,6.024668063,81.66066044,10,4,3,1,,,,,,,,,,,,,,,,
college,6.514236312,4.69903099,6.401494519,82.11791815,8,7,9,1,,,,,,,,,,,,,,,,
college,7.44920007,1.47872453,3.515299492,78.6486774,8,10,11,0,,,,,,,,,,,,,,,,
school,7.631138859,2.853850265,8.045135411,81.08506195,10,4,8,1,,,,,,,,,,,,,,,,
working_student,9.267831144,8.303648409,6.654608597,86.07670507,3,7,9,0,,,,,,,,,,,,,,,,
Other,6.087397078,2.892288896,7.015809493,70.71660678,6,6,2,0,,,,,,,,,,,,,,,,
college,6.214184205,4.756249819,2.966708057,89.30034717,9,6,3,1,,,,,,,,,,,,,,,,
school,6.69939269,4.726612545,1.496650756,78.63663502,6,9,5,0,,,,,,,,,,,,,,,,
working_student,8.626504123,8.658436437,4.684472596,82.01026371,8,5,6,1,,,,,,,,,,,,,,,,
college,6.327275464,5.406444931,5.537084142,95.80068725,6,5,4,0,,,,,,,,,,,,,,,,
working_student,8.045665115,6.007644507,4.104275286,68.74078455,7,8,6,0,,,,,,,,,,,,,,,,
college,6.458930766,4.660989903,6.51404003,91.76668172,2,7,4,0,,,,,,,,,,,,,,,,
working_student,6.850167841,7.137565469,4.416563106,80.31066943,5,4,6,1,,,,,,,,,,,,,,,,
college,6.351054985,3.724126265,1.126721068,85.87612261,8,7,6,0,,,,,,,,,,,,,,,,
college,6.060973438,2.541365829,2.053125554,43.60882426,6,1,11,0,,,,,,,,,,,,,,,,
college,7.203004752,4.357789657,3.947361648,61.75572355,4,8,2,0,,,,,,,,,,,,,,,,
working_student,6.747801881,5.802645422,3.25777314,77.9347559,10,7,2,1,,,,,,,,,,,,,,,,
college,6.786540834,3.029560353,3.55563,81.30903872,4,1,5,0,,,,,,,,,,,,,,,,
Other,6.625935426,7.093396695,3.55563,76.34852988,5,6,2,0,,,,,,,,,,,,,,,,
working_student,6.840027617,6.323013707,4.919781266,89.78077373,3,8,6,0,,,,,,,,,,,,,,,,
college,8.320804254,5.209591747,0.188584862,81.943,5,5,3,0,,,,,,,,,,,,,,,,
college,5.556824926,3.69393323,2.112410358,75.85024604,3,10,1,0,,,,,,,,,,,,,,,,
school,5.935577433,3.94728915,6.771877185,85.3667098,6,8,3,0,,,,,,,,,,,,,,,,
working_student,7.719986386,7.968430516,5.478384321,72.18663981,5,8,10,0,,,,,,,,,,,,,,,,
college,3.622882634,4.25427163,5.415144856,76.98763902,3,7,8,1,,,,,,,,,,,,,,,,
college,2.384920595,6.402060522,1.528172917,80.80344739,5,3,8,0,,,,,,,,,,,,,,,,
Other,6.230258884,3.486284128,2.533093239,0,7,6,3,0,,,,,,,,,,,,,,,,
college,7.377318381,5.621027819,3.76303012,81.943,2,2,11,0,,,,,,,,,,,,,,,,
school,6.125403364,4.415373316,7.870206079,85.54350332,7,3,9,1,,,,,,,,,,,,,,,,
school,6.426831941,4.177821997,1.415657911,92.32063548,3,6,9,0,,,,,,,,,,,,,,,,
working_student,4.96753505,5.139923867,5.10981803,71.10838132,5,6,6,0,,,,,,,,,,,,,,,,
college,8.19,4.7,4.88,78.16,1,4,12,0,,,,,,,,,,,,,,,,
college,4.37635417,7.606262941,0.43833724,75.5028955,7,5,10,1,,,,,,,,,,,,,,,,
college,6.642177542,5.018694088,3.926160792,80.94851744,3,7,10,0,,,,,,,,,,,,,,,,
college,8.882370314,10.31489067,0.496443043,79.2611483,4,6,1,0,,,,,,,,,,,,,,,,
school,6.534752753,2.215117593,7.077146431,75.57755949,6,5,7,0,,,,,,,,,,,,,,,,
working_student,6.29,4.7,6.04,69.58,7,6,12,1,,,,,,,,,,,,,,,,
school,8.018105085,4.37006114,3.309700367,96.85939853,7,10,6,0,,,,,,,,,,,,,,,,
